Category: All categories

Region,B&Q: (01/01/2024 - 06/08/2024),Garden: (01/01/2024 - 06/08/2024),Shed: (01/01/2024 - 06/08/2024)
Wales,32%,58%,10%
Scotland,33%,56%,11%
England,30%,60%,10%
Northern Ireland,32%,55%,13%
